City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Siatista,40.2619,21.5442,38.98,94,100,2.24,GR,2022-12-04 00:14:33
1,Avarua,-21.2078,-159.775,82.45,83,100,8.05,CK,2022-12-04 00:13:59
2,Rikitea,-23.1203,-134.9692,74.89,75,30,12.21,PF,2022-12-04 00:14:33
3,Kapaa,22.0752,-159.319,82.72,68,40,12.66,US,2022-12-04 00:14:34
4,Naze,28.3667,129.4833,68.9,79,99,3.18,JP,2022-12-04 00:14:34
5,Geraldton,-28.7667,114.6,70.21,78,100,9.22,AU,2022-12-04 00:11:42
6,Ancud,-41.8697,-73.8203,54.1,89,74,5.14,CL,2022-12-04 00:14:35
7,Qui Nhon,13.7667,109.2333,75.42,91,100,9.89,VN,2022-12-04 00:14:36
8,Keetmanshoop,-26.5833,18.1333,68.16,28,0,7.07,NA,2022-12-04 00:14:36
9,Yellowknife,62.456,-114.3525,16.27,96,100,8.41,CA,2022-12-04 00:14:36
10,Ushuaia,-54.8,-68.3,40.66,87,75,19.57,AR,2022-12-04 00:14:37
11,Rehoboth,-23.3167,17.0833,71.96,19,4,4.07,NA,2022-12-04 00:14:37
12,Sabha,27.0377,14.4283,64.17,26,0,10.49,LY,2022-12-04 00:14:38
13,Mataura,-46.1927,168.8643,62.87,51,99,10.49,NZ,2022-12-04 00:14:38
14,Vanavara,60.34,102.2797,-12.33,99,90,5.08,RU,2022-12-04 00:14:38
15,Nikolskoye,59.7035,30.7861,22.91,91,100,7.74,RU,2022-12-04 00:14:39
16,Port Hedland,-20.3167,118.5667,91.45,46,15,13.8,AU,2022-12-04 00:14:39
17,Busselton,-33.65,115.3333,63.72,66,98,15.88,AU,2022-12-04 00:14:40
18,Touros,-5.1989,-35.4608,78.76,76,4,15.57,BR,2022-12-04 00:14:40
19,La Ronge,55.1001,-105.2842,6.67,89,100,8.23,CA,2022-12-04 00:14:41
20,Buala,-8.145,159.5921,83.46,74,100,6.42,SB,2022-12-04 00:14:41
21,Katsuura,35.1333,140.3,59.97,60,99,19.84,JP,2022-12-04 00:12:22
22,Ribeira Grande,38.5167,-28.7,60.78,75,97,18.01,PT,2022-12-04 00:14:42
23,Cherskiy,68.75,161.3,3.72,94,100,2.24,RU,2022-12-04 00:14:42
24,Lufilufi,-13.8745,-171.5986,86.79,76,39,10.13,WS,2022-12-04 00:14:43
25,Shenjiamen,29.9576,122.298,57.2,83,100,25.52,CN,2022-12-04 00:14:43
26,Zhezkazgan,47.8043,67.7144,2.77,89,15,9.42,KZ,2022-12-04 00:14:44
27,Luderitz,-26.6481,15.1594,59.9,69,5,15.21,NA,2022-12-04 00:11:11
28,Severo-Kurilsk,50.6789,156.125,32.74,98,89,21.7,RU,2022-12-04 00:14:44
29,Punta Arenas,-53.15,-70.9167,46.51,53,40,24.16,CL,2022-12-04 00:14:45
30,Prince Rupert,54.3161,-130.3201,30.18,45,3,4.32,CA,2022-12-04 00:13:50
31,Saint-Joseph,-21.3667,55.6167,75.58,85,22,9.48,RE,2022-12-04 00:14:45
32,Vaini,-21.2,-175.2,80.71,82,91,12.82,TO,2022-12-04 00:14:46
33,Verkhoyansk,67.5447,133.385,-10.3,99,100,4.07,RU,2022-12-04 00:14:46
34,Boden,65.8252,21.6886,26.6,95,76,4.32,SE,2022-12-04 00:14:47
35,Dingle,10.9995,122.6711,79.65,86,82,8.57,PH,2022-12-04 00:13:51
36,Upernavik,72.7868,-56.1549,20.46,73,100,37.76,GL,2022-12-04 00:13:21
37,Saskylakh,71.9167,114.0833,8.22,93,100,24.18,RU,2022-12-04 00:12:16
38,Meadow Lake,34.8014,-106.5436,47.68,78,100,7.34,US,2022-12-04 00:14:48
39,Izmit,40.7669,29.9169,49.98,93,75,2.3,TR,2022-12-04 00:14:49
40,Tuktoyaktuk,69.4541,-133.0374,8.4,91,100,21.65,CA,2022-12-04 00:14:49
41,Hilo,19.7297,-155.09,81.28,93,100,9.22,US,2022-12-04 00:11:03
