City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Hermanus,ZA,-34.4187,19.2345,57.67,69,40,4.83,scattered clouds
1,Vaini,TO,-21.2,-175.2,84.36,84,75,9.22,broken clouds
2,Baker City,US,44.7749,-117.8344,24.51,58,0,4.61,clear sky
3,Ismailia,EG,30.6043,32.2723,61.32,75,11,7.87,few clouds
4,Rikitea,PF,-23.1203,-134.9692,74.91,77,7,12.75,clear sky
5,Hithadhoo,MV,-0.6,73.0833,82.69,71,100,11.79,light rain
6,Boguchany,RU,58.3814,97.4531,-12.48,100,70,3.78,broken clouds
7,Port Alfred,ZA,-33.5906,26.891,62.19,91,100,6.93,overcast clouds
8,Airai,TL,-8.9266,125.4092,76.71,39,96,0.87,overcast clouds
9,Havoysund,NO,70.9963,24.6622,28.63,78,26,9.69,scattered clouds
10,Jamestown,US,42.097,-79.2353,36.99,56,100,12.66,overcast clouds
11,Port Elizabeth,ZA,-33.918,25.5701,63.32,85,100,1.01,overcast clouds
12,Brae,GB,60.3964,-1.353,43.57,71,100,10.54,overcast clouds
13,Ancud,CL,-41.8697,-73.8203,52.25,92,48,3.62,scattered clouds
14,Tasiilaq,GL,65.6145,-37.6368,32.16,96,100,10.54,snow
15,Mizdah,LY,31.4451,12.9801,58.08,30,1,4.27,clear sky
16,Barrow,US,71.2906,-156.7887,1.42,85,0,10.36,clear sky
17,Prince Rupert,CA,54.3161,-130.3201,31.69,67,0,8.05,clear sky
18,Tual,ID,-5.6667,132.75,83.53,70,63,4.07,broken clouds
19,Cape Town,ZA,-33.9258,18.4232,61.88,70,20,14.97,few clouds
20,Shingu,JP,33.7333,135.9833,55.47,70,100,3.31,overcast clouds
21,Punta Arenas,CL,-53.15,-70.9167,42.91,65,20,14.97,few clouds
22,Tilichiki,RU,60.4667,166.1,3.42,79,20,6.85,few clouds
23,Cidreira,BR,-30.1811,-50.2056,71.51,97,100,5.08,overcast clouds
24,Mataura,NZ,-46.1927,168.8643,61.56,55,99,10.09,light rain
25,Longyearbyen,SJ,78.2186,15.6401,28.24,80,75,17.27,light snow
26,Nikolskoye,RU,59.7035,30.7861,22.91,88,100,8.23,overcast clouds
27,Sitka,US,57.0531,-135.33,33.69,69,0,4.61,clear sky
28,Tiksi,RU,71.6872,128.8694,-9.63,94,100,18.43,overcast clouds
29,Iwanai,JP,42.9744,140.5089,25.47,78,100,18.97,light snow
30,Hobart,AU,-42.8794,147.3294,68.05,68,75,11.5,broken clouds
31,Kempsey,AU,-31.0833,152.8333,72.95,55,92,8.99,overcast clouds
32,Khatanga,RU,71.9667,102.5,15.37,92,100,26.11,light snow
33,Albany,US,42.6001,-73.9662,41.41,65,15,4.0,few clouds
34,Arraial Do Cabo,BR,-22.9661,-42.0278,72.79,91,97,25.57,overcast clouds
35,Mahon,ES,39.8885,4.2658,50.56,93,0,6.91,clear sky
36,Sola,VU,-13.8833,167.55,82.17,68,96,11.65,overcast clouds
37,Klaksvik,FO,62.2266,-6.589,43.72,93,100,6.31,overcast clouds
38,Provideniya,RU,64.3833,-173.3,31.8,97,100,10.6,snow
39,Bambous Virieux,MU,-20.3428,57.7575,73.65,83,40,0.0,scattered clouds
40,Saldanha,ZA,-33.0117,17.9442,57.25,75,53,19.51,broken clouds
41,Esperance,AU,-33.8667,121.9,66.52,70,100,17.81,light rain
42,Betioky,MG,-23.7167,44.3833,71.19,78,14,1.48,few clouds
43,Ushuaia,AR,-54.8,-68.3,38.86,87,75,13.8,broken clouds
44,Grindavik,IS,63.8424,-22.4338,36.07,100,75,5.75,broken clouds
45,Chihuahua,MX,28.5,-106.0,68.2,45,59,5.08,broken clouds
46,Mondlo,ZA,-27.983,30.7177,56.57,94,100,5.86,overcast clouds
47,Aklavik,CA,68.2191,-135.0107,13.33,78,83,25.26,broken clouds
48,Gejiu,CN,23.306,103.1635,51.62,89,73,4.47,broken clouds
49,Lebu,CL,-37.6167,-73.65,55.74,89,6,11.07,clear sky
50,Bredasdorp,ZA,-34.5322,20.0403,54.03,71,9,1.72,clear sky
51,Souillac,MU,-20.5167,57.5167,73.78,83,40,0.0,scattered clouds
52,Nacala,MZ,-14.5428,40.6728,75.99,91,21,5.37,few clouds
53,Dikson,RU,73.5069,80.5464,28.31,93,100,22.28,overcast clouds
54,Pooler,US,32.1155,-81.2471,68.07,79,75,6.91,broken clouds
55,Kirakira,SB,-10.4544,161.9205,83.86,75,100,9.28,overcast clouds
56,Ostrovnoy,RU,68.0531,39.5131,18.55,89,35,9.37,scattered clouds
57,Codrington,AU,-38.2667,141.9667,84.2,40,100,10.63,overcast clouds
58,Araouane,ML,18.9048,-3.5265,74.37,18,95,9.57,overcast clouds
59,Bluff,NZ,-46.6,168.3333,57.72,75,100,28.45,light rain
60,Thompson,CA,55.7435,-97.8558,-18.24,76,20,4.61,few clouds
61,Devarkonda,IN,16.7,78.9333,71.64,88,61,4.76,broken clouds
62,Brasileia,BR,-11.0161,-68.7481,72.21,93,100,2.93,overcast clouds
63,Abu Samrah,SY,35.3029,37.1841,54.1,71,100,2.19,overcast clouds
64,Kutum,SD,14.2,24.6667,59.34,26,7,8.7,clear sky
65,Hambantota,LK,6.1241,81.1185,73.74,100,40,1.14,scattered clouds
66,Cherskiy,RU,68.75,161.3,6.28,96,100,4.05,light snow
67,Kavieng,PG,-2.5744,150.7967,80.4,78,100,5.46,overcast clouds
68,Kargat,RU,55.1956,80.2811,-5.84,96,100,5.55,overcast clouds
69,Dingle,PH,10.9995,122.6711,83.57,76,67,9.84,broken clouds
